Title,Year of Release,Rating,Number of Reviews,Popularity Index,Movie Cast,Director,Description
Mukkabaaz,2017,8,7.6K,"24,000","['Vineet Kumar Singh', 'Jimmy Shergill', 'Zoya Hussain', 'Ravi Kishan', 'Rajesh Tailang', 'Shreedhar Dubey', 'Sadhana Singh', 'Shakti Kumar', 'Chittaranjan Tripathy', 'Sukhesh Mishra', 'Shikha Chauhan', 'Abhay Joshi', 'Nawazuddin Siddiqui', 'Syed Firdaus', 'Darshit Lahane', 'Umair Patel', 'Sanjay Sonu', 'Asif Syed']",Anurag Kashyap,A boxer struggles to make his mark in the boxing world.
Karnan,2021,8.1,21K,"8,705","['Dhanush', 'Lal', 'Rajisha Vijayan', 'Yogi Babu', 'Nataraja Subramanian', 'Gouri Kishan', 'Lakshmi Priyaa Chandramouli', 'G.M. Kumar', 'Shanmugha Rajan', ""'Poo' Ram"", 'Subatra', 'Azhagam Perumal', 'Akila', 'Deepa Baskar', 'Madhan Kumar Dhakshinamoorthy', 'Dharshini', 'Md Ariful Islam', 'Janaki']",Mari Selvaraj,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer."
Deiva Thirumagal,2011,8.2,5.9K,"60,280","['Vikram', 'Anushka Shetty', 'Amala Paul', 'Nassar', 'Santhanam', 'Y.G. Mahendran', 'M.S. Bhaskar', 'Sachin Khedekar', 'Krishna Kumar', 'Surekha Vani', 'Pandi', 'Kishore Kumar Mr.', 'Sara Arjun', 'Karthik Kumar', 'Kishore', 'Lakshmi Priya', 'T.M. Karthik Srinivasan', 'Gadam Kishan']",A.L. Vijay,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family."
Border,1997,7.9,16K,"34,317","['Sunny Deol', 'Suniel Shetty', 'Akshaye Khanna', 'Jackie Shroff', 'Sudesh Berry', 'Puneet Issar', 'Kulbhushan Kharbanda', 'Tabu', 'Rakhee Gulzar', 'Pooja Bhatt', 'Sharbani Mukherji', 'Sapna Bedi', 'Ashoka', 'Ashok Asrani', 'Ranjeet Bedi', 'Deepak Bhatia', 'Mahabir Bhullar', 'Hemant Choudhary']",J.P. Dutta,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force."
Ship of Theseus,2012,8,7.4K,"21,690","['Aydah El-Kashef', 'Yogesh Shah', 'Faraz Khan', 'Hannan Youssef', 'Narendra Shah', 'Chitra Shah', 'Manan Shah', 'Aishwarya', 'Balaji Janardhan', 'Abbas K.', 'Bharat Pardesi', 'Pradeep Sinha', 'Akhtar Bhale', 'Sidharth Meer', 'Bonnie Chenevier', 'Vivek Manek', 'Megha Ramaswamy', 'Wendy Gracias']",Anand Gandhi,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker."
Jalsaghar,1958,7.9,6K,"25,230","['Chhabi Biswas', 'Sardar Akhtar', 'Gangapada Basu', 'Bismillah Khan', 'Salamat Ali Khan', 'Waheed Khan', 'Roshan Kumari', 'Tulsi Lahiri', 'Tarapada Nandy', 'Padmadevi', 'Kali Sarkar', 'Pinaki Sengupta', 'Pratap Mukherjee']",Satyajit Ray,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity."
Vedam,2010,8.1,8.1K,"41,005","['Allu Arjun', 'Anushka Shetty', 'Manoj Kumar Manchu', 'Manoj Bajpayee', 'Nagayya', 'Deeksha Seth', 'Lekha Washington', 'Brahmanandam', 'Siya', 'Satyam Rajesh', 'Ravi Prakash', 'Krishna Murali Posani', 'Pruthvi', 'Raghu Babu', 'Joy Badlani', 'Kallu Chidambaram', 'Sammeta Gandhi', 'Vajja Venkata Giridhar']",Radha Krishna Jagarlamudi,"Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy."
Charlie,2015,8,11K,"28,147","['Dulquer Salmaan', 'Parvathy Thiruvothu', 'Aparna Gopinath', 'Nedumudi Venu', 'Tovino Thomas', 'Seetha', 'Soubin Shahir', 'K.P.A.C. Lalitha', 'Chemban Vinod Jose', 'Kalpana', 'Amithabh', 'Anoop', 'P. Balachandran', 'Shereej K. Basheer', 'Molly Kannamaly', 'Neeraj Madhav', 'Joy Mathew', 'Minon']",Martin Prakkat,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment."
Pad Man,2018,7.9,26K,"16,100","['Akshay Kumar', 'Radhika Apte', 'Sonam Kapoor', 'Jyoti Subhash', 'Urmila Mahanta', 'Suneel Sinha', 'Sanjay Singh', 'Rakesh Chaturvedi Om', 'Mrinmayee Godbole', 'Mridul Satam', 'Parul Chauhan', 'Saurabh Agarwal', 'Amitabh Bachchan', 'Varun Bag', 'Himika Bose', 'Riva Bubber', 'Saidujjaman Durjoy', 'Gautmik']",R. Balki,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
RRR,2022,8,88K,47,"['N.T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt', 'Olivia Morris', 'Shriya Saran', 'Ray Stevenson', 'Alison Doody', 'Samuthirakani', 'Chandra Sekhar', 'Makrand Deshpande', 'Rajeev Kanakala', 'Rahul Ramakrishna', 'Edward Sonnenblick', 'Varun Buddhadev', 'Spandan Chaturvedi', 'Mark Bennington', 'Ahmareen Anjum']",S.S. Rajamouli,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.
Salaam Bombay!,1988,7.9,9.4K,"16,395","['Shafiq Syed', 'Anjaan', 'Amrit Patel', 'Murari Sharma', 'Ram Murthy', 'Sarfuddin Qureshi', 'Raju Barnad', 'Raghuvir Yadav', 'Anita Kanwar', 'Nana Patekar', 'Irshad Hashmi', 'Hansa Vithal', 'Mohanraj Babu', 'Chandrashekhar Naidu', 'Krishna Thapa', 'Jamila', 'Chanda Sharma', 'Ramesh Rai']",Mira Nair,"Young Krishna struggles to survive among the drug dealers, pimps, and prostitutes in the back alleys and gutters of India."
Baahubali : The Beginning,2015,8,120K,"1,616","['Tamannaah Bhatia', 'Prabhas', 'Adivi Sesh', 'Rana Daggubati', 'Anushka Shetty', 'Sudeep', 'Nora Fatehi', 'Ramya Krishnan', 'Sathyaraj', 'Nassar', 'Rohini', 'Scarlett Mellish Wilson', 'Gaurav Pareek', 'Madhussneha Upadhyay', 'Rajsekhar Aningi', 'Chandramogli Madem', 'Prabhakar', 'John Kokken']",S.S. Rajamouli,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
Ankhon Dekhi,2013,7.9,12K,"21,536","['Sanjay Mishra', 'Abhinay Raj Singh', 'Seema Bhargava', 'Rajat Kapoor', 'Taranjit Kaur', 'Maya Sarao', 'Chandrachoor Rai', 'Namit Das', 'Brijendra Kala', 'Alka Chatwal', 'Manu Rishi Chadha', 'Mahesh Sharma', 'Anil Chaudhary', 'Manish Karnatak', 'Dhruv Uday Singh', 'Saurabh Shukla', 'Danish Husain', 'Yogendra Tikku']",Rajat Kapoor,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions."
Baby,2015,7.9,57K,"20,854","['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu', 'Anupam Kher', 'Kay Kay Menon', 'Jameel Khan', 'Sushant Singh', 'Madhurima Tuli', 'Mikaal Zulfiqar', 'Hasan Noman', 'Rasheed Naz', 'Rahaao', 'Kerem Sarikaya', 'Zachary Coffin', 'Syed Ahad Hussain', 'Karan Aanand', 'Kiran Anand']",Neeraj Pandey,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
Vinnaithaandi Varuvaayaa,2010,8.1,6K,"51,257","['Silambarasan Rajendar', 'Trisha Krishnan', 'Vtv Ganesh', 'Raja Krishnamoorthy', 'Babu Antony', 'Uma Pathmanabhan', 'Lakshmy Ramakrishnan', 'Samantha Ruth Prabhu', 'Naga Chaitanya Akkineni', 'K.S. Ravikumar', 'Trisha Alex', 'Janani Iyer', 'Pradeep Kottayam', 'Karuppanchetty Meyyappan']",Gautham Vasudev Menon,An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.
Malik,2021,8.1,13K,"7,924","['Fahadh Faasil', 'Nimisha Sajayan', 'Vinay Forrt', 'Jalaja', 'Salim Kumar', 'Joju George', 'Dileesh Pothan', 'Sanal Aman', 'Parvathy Krishna', 'Dinesh Prabhakar', 'Indrans', 'Amal Rajdev', 'Chandhunath G. Nair', 'Sarath Kumar', 'Rajesh Sharma', 'Divya Prabha', 'Devaki Rajendran', 'Maala Parvathi']",Mahesh Narayanan,"A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars."
Pizza,2012,8,7.9K,"16,903","['Vijay Sethupathi', 'Ramya Nambeeshan', 'Aadukalam Naren', 'Karunakaran', 'Jayakumar', 'Bobby Simha', 'Pooja Ramachandran', 'Veera Santhanam', 'Joy Badlani', 'Kavin', 'Ragavendra Prasad']",Karthik Subbaraj,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.
M.S. Dhoni: The Untold Story,2016,7.9,55K,"16,860","['Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani', 'Bhoomika Chawla', 'Sanjay Dadhich', 'Kaliprasad Mukherjee', 'Zeeshaan', 'Mithu Chakraborty', 'Kranti Prakash Jha', 'Ashrut Jain', 'Brijendra Kala', 'Mukesh S. Bhatt', 'Jitin Gulati', 'Sahil Gyan', 'Sushil Kumar Dutta', 'Sarvadaman Banerjee', 'Deepak Dutta']",Neeraj Pandey,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
Kirik Party,2016,8.2,5.8K,"28,835","['Rakshit Shetty', 'Rashmika Mandanna', 'Samyuktha Hegde', 'Achyuth Kumar', 'Raghu Pandeshwar', 'Pramod Shetty', 'Aravinnd Iyer', 'Arohitha Gowda', 'Chandan Achar', 'Hanumanthe Gowda', 'Rajath Kumar', 'Ashwin Rao Pallaki', 'Dhananjay Ranjan', 'Salman Ahamed', 'Shankar Murthy', 'Aishwarya Acchappa', 'Paramesh', 'Giri Krishna']",Rishab Shetty,"Kirik Party is the story of a gang of mischievous students, lead by the protagonist Karna (Rakshit Shetty), who has just joined an engineering college."
English Vinglish,2012,7.8,36K,"27,696","['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand', 'Sujata Kumar', 'Sulabha Deshpande', 'Michael Patrick Hoban', 'Navika Kotia', 'Shivansh Kotia', 'Ashvin Matthew', 'Cory Hibbs', 'Rajeev Ravindranathan', 'Maria Romano', 'Sumeet Vyas', 'Ruth Aguilar', 'Ross Nathan', 'Damian Thompson', 'Neelu Sodhi']",Gauri Shinde,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
Hindi Medium,2017,7.8,29K,"11,587","['Irrfan Khan', 'Saba Qamar', 'Dishita Sehgal', 'Deepak Dobriyal', 'Swati Das', 'Amrita Singh', 'Sumit Gulati', 'Angshuman Nandi', 'Neha Dhupia', 'Tillotama Shome', 'Rajiv Gupta', 'Rajesh Sharma', 'Sanjana Sanghi', 'Delzad Hiwale', 'Kiran Khoje', 'Neelu Kohli', 'Anurag Arora', 'S.K. Batra']",Saket Chaudhary,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
Lakshya,2004,7.9,23K,"18,277","['Hrithik Roshan', 'Preity Zinta', 'Amitabh Bachchan', 'Om Puri', 'Sharad S. Kapoor', 'Raj Zutshi', 'Sushant Singh', 'Prashant Chianani', 'Shakeel Khan', 'Ranvir Shorey', 'Aarav Choudhary', 'Ajai Jose', 'Aditya Srivastav', 'Abir Goswami', 'Parmeet Sethi', 'Boman Irani', 'Kushal Punjabi', 'Nawab Shah']",Farhan Akhtar,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
Dor,2006,7.9,6K,"55,847","['Ayesha Takia', 'Shreyas Talpade', 'Gul Panag', 'Girish Karnad', 'Prateeksha Lonkar', 'Rushad Rana', 'Aniruddha Jatkar', 'Shivani Joshi', 'Uttara Baokar', 'Pavan Singh', 'Banwarilal Taneja', 'Ikhlaque Khan', 'Veena Sajnani', 'Vibhu Kashyap', 'Dhruv Jagasiya', 'Nagesh Kukunoor', 'Maulvi Saheb', 'Gururaj Manepalli']",Nagesh Kukunoor,"Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her hands."
Memories,2013,8,7.2K,"42,161","['Prithviraj Sukumaran', 'Sreejith Ravi', 'Vijayaraghavan', 'Suresh Krishna', 'Miya George', 'Meghana Raj', 'Rahul Madhav', 'S.P. Sreekumar', 'Nedumudi Venu', 'Vanitha Krishnachandran', 'Shereej K. Basheer', 'Irshad', 'Disney James', 'Madhupal', 'Mahalakshmi', 'Murugan', 'Narayanan Nair', 'Seema G. Nair']",Jeethu Joseph,"Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expected."
Airlift,2016,7.9,57K,"13,996","['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi', 'Inaamulhaq', 'Lena', 'Nissar Khan', 'Ninad Kamat', 'Kaizaad Kotwal', 'Feryna Wazheir', 'Ajay Kumar', 'Purab Kohli', 'Gunjan Malhotra', 'Pooja Nair', 'Taranjit Kaur', 'Ajay Arya', 'Avtar Gill', 'Pawan Chopra']",Raja Menon,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
Johnny Gaddaar,2007,7.9,12K,"40,047","['Dharmendra', 'Rimi Sen', 'Ashwini Kalsekar', 'Neil Nitin Mukesh', 'Vinay Pathak', 'Zakhir Hussain', 'Dayanand Shetty', 'Govind Namdeo', 'Rasika Joshi', 'Shankar Sachdev', 'Priyanka Bose', 'Farah', 'Radhika', 'Neeraj Khetrapal', 'Sonia Rakkar', 'Vyjayanthi', 'Swatantra Bharat', 'Jasbeer']",Sriram Raghavan,"Police officers recount a tale of missing money which results in lies, deceit, betrayal and death."
Hey Ram,2000,7.9,13K,"11,707","['Kamal Haasan', 'Shah Rukh Khan', 'Rani Mukerji', 'Hema Malini', 'Girish Karnad', 'Naseeruddin Shah', 'Om Puri', 'Vikram Gokhale', 'Saurabh Shukla', 'Nassar', 'Abbas', 'Atul Kulkarni', 'Sowcar Janaki', 'Iravati Harshe', 'Vasundhara Das', 'Gautham Kanthadai', 'Nagamani Mahadevan', 'Shubhangi Gokhale']",Kamal Haasan,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets out to kill him.
Joseph,2018,8,5.5K,"35,330","['Joju George', 'Athmeeya Rajan', 'Dileesh Pothan', 'James Eliya', 'Irshad', 'Sudhi Koppa', 'Madhuri Braganza', 'Malavika Menon', 'Johny Antony', 'Idavela Babu', 'Bitto Davis', 'Gayathri', 'Jaffer Idukki', 'Anil Murali', 'Kannan Pattambi', 'Prem Prakash', 'Rajesh Sharma', 'Nandhan Unni']",M. Padmakumar,"The story develops through the life of four retired policemen. It has the tone of a thriller investigation. An issue affecting the life of Joseph, the central character, and his family is being investigated."
Kaakha..Kaakha: The Police,2003,8,6.4K,"46,483","['Suriya', 'Jyotika', ""'University' Jeevan"", 'Daniel Balaji', 'Vivek Anand', 'Devadarshini Chetan', 'Sethu Rajan', 'Yog Japi', 'Ramya Krishnan', 'Clive Dev', 'Yog Japee', 'Gautham Vasudev Menon']",Gautham Vasudev Menon,"After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families."
Hridayam,2022,8.1,11K,"7,552","['Pranav Mohanlal', 'Kalyani Priyadarshan', 'Darshana Rajendran', 'Vijayaraghavan', 'Johny Antony', 'Aju Varghese', 'Arun Kurian', 'Aswath Lal', 'Annu Antony', 'Abishek Joseph George', 'Ann Jameela Saleem', 'Megha Thomas', 'Sooraj Sun', 'Jojo Jose', 'Jishnu Sreekumar', 'Ajith Thomas Abraham', 'Kurian Joseph John', 'Sanjay Menon']",Vineeth Sreenivasan,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life."
The Tashkent Files,2019,8.1,33K,"10,801","['Shweta Basu Prasad', 'Mithun Chakraborty', 'Naseeruddin Shah', 'Pankaj Tripathi', 'Vinay Pathak', 'Rajesh Sharma', 'Pallavi Joshi', 'Mandira Bedi', 'Prakash Belawadi', 'V.M. Badola', 'Asif Basra', 'Prashantt Guptha', 'Achint Kaur', 'Ankur Rathee', 'Francisco Raymond', 'Gary Tatony', 'Olena Khudyakova', 'Takesh Singh']",Vivek Agnihotri,"Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated."
Gangaajal,2003,7.8,17K,"42,932","['Ajay Devgn', 'Gracy Singh', 'Mohan Joshi', 'Yashpal Sharma', 'Akhilendra Mishra', 'Mukesh Tiwari', 'Ayub Khan', 'Chetan Pandit', 'Anup Soni', 'Mohan Agashe', 'Yash Gawli', 'Payal Srivastava', 'Dayashankar Pandey', 'Manyata Dutt', 'Brij Gopal', 'Mahesh Gupta', 'Anita Kanwal', 'Abhijeet Lahiri']",Prakash Jha,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician."
Anjaam Pathiraa,2020,7.9,7.1K,"23,336","['Kunchacko Boban', 'Jinu Joseph', 'Unnimaya Prasad', 'Sreenath Bhasi', 'Abhiram Pothuval', 'Harikrishnan', 'Sharafudheen', 'Divya Gopinath', 'Indrans', 'Ramya Nambeeshan', 'Arun', 'Nikhila Vimal', 'Jaffer Idukki', 'Mathew Thomas', 'Nandana Varma', 'Jaise Jose', 'Assim Jamal', 'Gilu Joseph']",Midhun Manuel Thomas,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?"
Vettaiyaadu Vilaiyaadu,2006,7.9,7.6K,"52,759","['Kamal Haasan', 'Jyotika', 'Prakash Raj', 'Daniel Balaji', 'Saleem Baig', 'Kamalinee Mukherjee', 'Rajashri', 'Lev Gorn', 'Yog Japee', 'Ajay Naidu', 'Aahuthi Prasad', 'Karma', 'Stun Shiva', 'Vtv Ganesh', 'Tirlok Malik', 'Ann Marie Seall', 'Marvin Adler', 'Archana']",Gautham Vasudev Menon,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country."
Mumbai Police,2013,7.9,6.9K,"42,158","['Prithviraj Sukumaran', 'Jayasurya', 'Rahman', 'Riyaz Khan', 'Kunchan', 'Mukundan', 'Aparna Nair', 'Chali Pala', 'Nihal Pillai', 'Captain Raju', 'Mariya Roy', 'Harish Uthaman', 'Shweta Menon']",Roshan Andrews,"ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate the murder again hoping that he remembers something."
The LunchBox,2013,7.8,56K,"8,914","['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui', 'Lillete Dubey', 'Nakul Vaid', 'Bharti Achrekar', 'Yashvi Puneet Nagar', 'Denzil Smith', 'Shruti Bapna', 'Nasir Khan', 'Lokesh Raj', 'Sadashiv Kondaji Pokarkar', 'Aarti Rathod', 'Krishna Bai', 'Raj Rishi More', 'Santosh Kumar Chaurasiya', 'Avijit Khanwilkar', 'Aakash Sinha']",Ritesh Batra,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
Ab Tak Chhappan,2004,7.8,8.9K,"32,770","['Nana Patekar', 'Revathi', 'Yashpal Sharma', 'Mohan Agashe', 'Nakul Vaid', 'Jeeva', 'Kunal Vijaykar', 'Pravin Patel', 'Prasad Purandhare', 'Hrishitaa Bhatt', 'Neha Bam', 'Dibyendu Bhattacharya', 'Megan Cocks', 'Helen', 'Anant Jog', 'Ravi Kale', 'Parvez Khan', 'Dinesh Lamba']",Shimit Amin,An honest encounter specialist's life begins to change with the arrival of a new police commissioner who has ties with a local don.
Okkadu,2003,8,9.5K,"72,401","['Mahesh Babu', 'Bhoomika Chawla', 'Prakash Raj', 'Joy Badlani', 'Chandramohan', 'Rajan P. Dev', 'Geetha', 'Baby Niharika', 'Paruchuri Venkateswara Rao', 'Mukesh Rishi', 'Telangana Sakuntala', 'Dharmavarapu Subramanyam']",Gunasekhar,A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.
Unnaipol Oruvan,2009,8,5.8K,"55,233","['Kamal Haasan', 'Mohanlal', 'Lakshmi', 'Ganesh Venkatraman', 'Bharath Reddy', 'Poonam Kaur', 'Anuja Iyer', 'Mukhtar Khan', 'Prem Kumar', 'Sriman', 'Santhana Bharathi', 'M.S. Bhaskar', 'R.S. Shivaji', 'Sarath Mandava', 'Karate Raja', 'Mahesh', 'Prem Nizaar', 'Rohit Khuranna']",Chakri Toleti,A retiring police officer remembers a thrilling case of his life which is not recorded in any case files.
Secret Superstar,2017,7.8,25K,"18,276","['Zaira Wasim', 'Meher Vij', 'Raj Arjun', 'Aamir Khan', 'Tirth Sharma', 'Kabir Sajid Shaikh', 'Farrukh Jaffar', 'Manuj Sharma', 'Nikita Anand', 'Shaan', 'Monali Thakur', 'Mona Ambegaonkar', 'Jasmeet Singh Bhatia', 'Dianne Commissariat', 'Patrali Chattopadhyay', 'Fatima Ashraf', 'Jasleen Singh', 'Nithish']",Advait Chandan,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.
Pokiri,2006,7.9,14K,"29,936","['Mahesh Babu', ""Ileana D'Cruz"", 'Prakash Raj', 'Nassar', 'Ashish Vidyarthi', 'Sayaji Shinde', 'Brahmanandam', 'Ajay', 'Sudha', 'Master Bharath', 'Mohammad Ali', 'Venu Madhav', 'Mumait Khan', 'Ganesh Babu', 'Rakesh Bhavsar', 'Isai', 'Isaiah', 'Satya Prakash']",Puri Jagannadh,"Krishna, a police officer, disguises himself as a thug and joins the mafia in order to wipe out the underworld."
Angamaly Diaries,2017,7.9,6.1K,"17,657","['Antony Varghese', 'Reshma Rajan', 'Binny Rinky Benjamin', 'Amrutha Anna Reji', 'Vineeth Vishwam', 'Kichu Tellus', 'Sreekanth Dasan', 'Anandhu Mukundan', 'Bitto Davis', 'Sinoj Varghese', 'Sarath Kumar', 'Tito Wilson', 'Merin Jose Pottackal', 'Akash Dev', 'Binoy Antony', 'Jolly Chirayath', 'Athira Patel', 'Ullas Jose Chemban']",Lijo Jose Pellissery,"Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale on which the film is based."
Thuppakki,2012,8,34K,"31,745","['Joseph Vijay', 'Kajal Aggarwal', 'Vidyut Jammwal', 'Sathyan', 'Zakhir Hussain', 'Jayaram', 'Manngala Radhakrishnan', 'Rahaao', 'Deepthi Nambiar', 'Sanjana Sarathy', 'Steven Clarke', 'A.R. Murugadoss', 'Santosh Sivan', 'MD Asif', 'Joy Badlani', 'Nidhi Bisht', 'Akshara Gowda', 'Sumesh Krishnan']",A.R. Murugadoss,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
Manam,2014,7.9,11K,"26,326","['Akkineni Nageshwara Rao', 'Nagarjuna Akkineni', 'Naga Chaitanya Akkineni', 'Samantha Ruth Prabhu', 'Shriya Saran', 'Amitabh Bachchan', 'Brahmanandam', 'M.S. Narayana', 'Akhil Akkineni', 'Mohammad Ali', 'Jayaprakash Reddy', 'Krishna Murali Posani', 'Amala Akkineni', 'Srinivasa Reddy', 'Raashi Khanna', 'Chalapathi Rao', 'Krishnudu', 'Nitu Chandra']",Vikram K. Kumar,"Through reincarnation, family members are able to cross generations and meddle in each others' lives."
Oopiri,2016,8,5.2K,"37,250","['Nagarjuna Akkineni', 'Karthi', 'Tamannaah Bhatia', 'Prakash Raj', 'Jayasudha', 'Vivek', 'Mohammad Ali', 'Kalpana', 'Tanikella Bharani', 'Punarnavi Bhupalam', 'Sreenivasa Sayee', 'Santhana Bharathi', 'Anushka Shetty', 'Shriya Saran', 'Adivi Sesh', 'Gabriella Demetriades', 'Nicolas Lagiere', 'Uday Bhanu Avirineni']",Vamshi Paidipally,"Impressed by his carefree attitude, quadriplegic multi-billionaire Vikram hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other."
Vicky Donor,2012,7.8,43K,"28,617","['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia', 'John Abraham', 'Backagaindancer', 'Tarun Bali', 'Siddharth Bhardwaj', 'Krishna Singh Bisht', 'Jayanta Das', 'Aaditrie Dipika', 'Swaroopa Ghosh', 'Kamlesh Gill', 'Nitanshi Goel', 'Puja Gupta', 'Shiva Kumar', 'Vijay Meenu', 'Bhupesh Pandya']",Shoojit Sircar,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
Ghilli,2004,8.1,14K,"52,770","['Joseph Vijay', 'Trisha Krishnan', 'Prakash Raj', 'Ashish Vidyarthi', 'Janaki Sabesh', 'Nagendra Prasad', 'Tanikella Bharani', 'Dhamu', 'Baby Jeniffer', 'Brahmanandam', 'Mayilsamy', ""'Nandha' Saravanan"", 'Saai Sundar', 'Murugadass', 'Karate Raja', 'Pandi', 'Vimal', 'Appukutty']",Dharani,"Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will."
Mother India,1957,7.8,9.3K,"36,212","['Nargis', 'Sunil Dutt', 'Rajendra Kumar Tuli', 'Raaj Kumar', 'Kanhaiyalal Chaturvedi', 'Jillo', 'Kumkum', 'Chanchal', 'Sheela Naik', 'Mukri', 'Siddiqui', 'Ram Shastri', 'Fakir Mohammad', 'Geeta', 'Hameeda', 'Master Surendra', 'Mastan', 'Nawab Khan']",Mehboob Khan,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, always sticks to her own moral code."
RangiTaranga,2015,8.2,14K,"43,660","['Nirup Bhandari', 'Radhika Narayan', 'Avantika Shetty', 'Sai Kumar', 'Anantha Velu', 'Aravind Rao', 'Siddu Moolimani', 'Karthik Rao Kordale', 'Shankar Ashwath', 'Srinath Vasista', 'Chethan Raj', 'Roshni Kore', 'Swapna Raj', 'Renuka', 'Shilpa Singh', 'Patla Sathish Shetty']",Anup Bhandari,"Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist."
Veer Zarra,2004,7.8,53K,"11,894","['Shah Rukh Khan', 'Preity Zinta', 'Rani Mukerji', 'Kirron Kher', 'Divya Dutta', 'Boman Irani', 'Anupam Kher', 'Amitabh Bachchan', 'Hema Malini', 'Manoj Bajpayee', 'Zohra Sehgal', 'S.M. Zaheer', 'Tom Alter', 'Akhilendra Mishra', 'Arun Bali', 'Gurdas Maan', 'Rushad Rana', 'Vinod Negi']",Yash Chopra,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever."
